"A Day In The Life" 	22.5 	142080
"Here Comes The Sun" 	20.5 	255026
"Hey Jude" 	19 	198028
"Come Together" 	16.5 	271169
"While My Guitar Gent" 	16 	166466
"Let It Be" 	14.5 	262349
"Get Back" 	14.5 	147639
"Revolution" 	14 	76276
"Lady Madonna" 	13.5 	88998
"Lucy In The Sky With" 	13.5 	169352
"Birthday" 	10 	50408
"Eleanor Rigby" 	5 	204147
"I Am The Walrus" 	1.5 	123794
"Golden Slumbers" 	1.5 	129621
"Nowhere Man" 	1.5 	93785
"The Ballad Of John A" 	1.5 	60012
"Rock And Roll Music" 	1.5 	56026
"She Said She Said" 	1.5 	76141
"She's A Woman" 	1.5 	0
"Day Tripper" 	1.5 	87774
"Sun King/Mean Mr. Mu" 	1.5 	0
"Dear Prudence" 	1.5 	90050
"Ticket To Ride" 	1.5 	136264
"You Never Give Me Yo" 	1.5 	98446
"Penny Lane" 	1.5 	132344
"Good Morning Good Mo" 	1.5 	55541
"Baby You're A Rich M" 	1.5 	50816
"Helter Skelter" 	1 	86998
"Got To Get You Into " 	1 	74467
