"Gimme Shelter" 	24.5 	284148
"Miss You" 	23 	105681
"Beast Of Burden" 	23 	103013
"Under My Thumb" 	21.5 	156575
"You Can't Always Get" 	20.5 	137858
"It's Only Rock 'n Ro" 	19.5 	7932
"Jumpin' Jack Flash" 	18 	103284
"Honky Tonk Women" 	17.5 	60494
"Sympathy For The Dev" 	17 	239629
"(I Can't Get No) Sat" 	16 	124589
"Angie" 	16 	145297
"Paint It Black" 	16 	179329
"Get Off Of My Cloud" 	15.5 	53641
"Shattered" 	15 	28306
"19th Nervous Breakdo" 	15 	51980
"Mother's Little Help" 	15 	40113
"Let's Spend The Nigh" 	13.5 	54240
"Emotional Rescue" 	5.5 	31297
"Start Me Up" 	2.5 	132572
"Ruby Tuesday" 	2.5 	80475
"Brown Sugar" 	2 	123488
"Hang Fire" 	1.5 	12075
"Tumbling Dice" 	1.5 	82062
"She's So Cold" 	1 	15571
"Respectable" 	1 	24208
"Not Fade Away" 	1 	45113
"Dancing With Mr. D." 	1 	0
"No Expectations" 	1 	28124
"Monkey Man" 	1 	27460
