356.5 	"Rolling Stones"
334.5 	"Led Zeppelin"
283 	"Beatles"
183 	"Pink Floyd"
177.5 	"Who"
169.5 	"Van Halen"
164 	"Queen"
154.5 	"Journey"
143 	"Cars"
138.5 	"Billy Joel"
135.5 	"Tom Petty And The Heartbreaker"
135.5 	"Steve Miller Band"
135 	"Electric Light Orchestra"
132.5 	"Foreigner"
112 	"Supertramp"
107.5 	"Boston"
107.5 	"Bad Company"
105.5 	"Aerosmith"
105.5 	"Creedence Clearwater Revival"
105 	"Elton John"
103.5 	"Lynyrd Skynyrd"
98 	"David Bowie"
96.5 	"Eagles"
95 	"Styx"
88 	"Bruce Springsteen"
81 	"Eric Clapton"
79 	"Paul Mccartney And Wings"
76 	"Fleetwood Mac"
70.5 	"Genesis"
69.5 	"Van Morrison"
67 	"Zz Top"
66 	"Rod Stewart"
65 	"George Thorogood"
63.5 	"Doors"
62.5 	"Joe Walsh"
60 	"Doobie Brothers"
60 	"Ac/Dc"
54.5 	"Billy Idol"
53.5 	"Peter Frampton"
53 	"Neil Young"
51.5 	"John Mellencamp"
50.5 	"Heart"
48 	"The Kinks"
47.5 	"Talking Heads"
46 	"Bon Jovi"
45 	"Eddie Money"
43.5 	"Bob Seger"
42.5 	"Meatloaf"
41 	"Bachman-Turner Overdrive"
41 	"Kansas"
40.5 	"Pat Benatar"
40.5 	"Phil Collins"
40.5 	"Guess Who"
40 	"Billy Squier"
38 	"Cheap Trick"
37 	"America"
36 	"Steppenwolf"
35 	".38 Special"
35 	"The Clash"
34.5 	"Police"
33 	"Guns N' Roses"
32.5 	"Yes"
32.5 	"Tom Petty"
32 	"Blue Oyster Cult"
30.5 	"J. Geils Band"
28 	"John Lennon"
27.5 	"Warren Zevon"
27 	"Deep Purple"
27 	"Steely Dan"
27 	"Hooters"
26.5 	"Pretenders"
26 	"War"
25.5 	"Peter Gabriel"
25.5 	"U2"
25 	"Bob Dylan"
25 	"Jimi Hendrix"
24 	"Dire Straits"
23.5 	"Queen W/David Bowie"
23.5 	"Grand Funk Railroad"
23.5 	"Manfred Mann's Earth Band"
23 	"Norman Greenbaum"
22.5 	"Jackson Browne"
22 	"Stevie Nicks"
22 	"Golden Earring"
22 	"Grand Funk"
21 	"Alice Cooper"
20.5 	"David Essex"
20.5 	"Def Leppard"
20.5 	"Joan Jett And The Blackhearts"
20.5 	"Mott The Hoople"
20 	"Foghat"
20 	"Joe Cocker"
20 	"T. Rex"
20 	"Five Man Electrical Band"
19.5 	"Kiss"
19.5 	"Don Mclean"
19.5 	"Toto"
19.5 	"Edgar Winter Group"
19.5 	"The Animals"
19 	"Scorpions"
19 	"Lou Reed"
18.5 	"Sweet"
18.5 	"Zombies"
18.5 	"Spencer Davis Group"
18.5 	"Hollies"
18.5 	"Derek And The Dominos"
18.5 	"Ramones"
18 	"Boz Scaggs"
18 	"Thin Lizzy"
18 	"Jefferson Airplane"
18 	"Stephen Stills"
17.5 	"Free"
17.5 	"Janis Joplin"
17.5 	"Greg Kihn Band"
17.5 	"Buffalo Springfield"
17 	"Stealers Wheel"
16.5 	"Ozzy Osbourne"
16.5 	"John Cafferty And The Beaver B"
16 	"Rod Stewart / Faces"
16 	"Todd Rundgren"
15.5 	"Stevie Nicks/Tom Petty"
15 	"Jefferson Starship"
15 	"Knack"
14.5 	"Reo Speedwagon"
14.5 	"George Harrison"
14 	"Jethro Tull"
14 	"Pete Townshend"
14 	"Romantics"
13.5 	"Allman Brothers Band"
12 	"Black Sabbath"
11.5 	"Rem"
10.5 	"Rush"
8 	"Don Henley"
7.5 	"The Band"
7.5 	"Santana"
6 	"Patti Smith Group"
4.5 	"Chicago"
4.5 	"Marshall Tucker Band"
4 	"Clash"
3.5 	"Nazareth"
3.5 	"Robert Palmer"
3.5 	"Dave Edmunds"
3 	"Paul Mccartney"
3 	"Lee Michaels"
2.5 	"Squeeze"
2.5 	"Asia"
2 	"Moody Blues"
2 	"Ten Years After"
2 	"Argent"
1.5 	"Cream"
1 	"Yardbirds"
1 	"Gary Wright"
1 	"Gerry Rafferty"
1 	"Ringo Starr"
1 	"Eddie Money / Ronnie Spector"
1 	"Who (Live At Leeds)"
1 	"Gregg Allman"
1 	"James Gang"
1 	"Allman Brothers"
0.5 	"Robin Trower"
0.5 	"Peter Frampton (Long Version"
0.5 	"John Fogerty"
0.5 	"David Lee Roth"
0.5 	"Procol Harum"
0.5 	"The Firm"
0.5 	"Loverboy"
0.5 	"No Nukes"
0.5 	"Sugarloaf"
0.5 	"Charlie Daniels Band"
0.5 	"Them Featuring Van Morrison"
0.5 	"Cheech And Chong"
0.5 	"Ted Nugent"
